************** Maiores sequências **************
3 números seguidos: 163 jogos (11,82%)
1B 2B 1B 2B 2B 2B 1B 3B 1B: 1 jogos (0,07%)
4B 3B 2B 2B 2B 1B 1B: 1 jogos (0,07%)
1B 2B 3B 2B 2B 4B 1B: 1 jogos (0,07%)
1B 4B 3B 1B 1B 5B: 1 jogos (0,07%)
2B 1B 1B 2B 1B 3B 1B 3B 1B: 1 jogos (0,07%)
3B 3B 3B 1B 1B 1B 1B 1B 1B: 1 jogos (0,07%)
6B 3B 3B 1B 1B 1B: 1 jogos (0,07%)
4B 4B 2B 1B 1B 3B: 1 jogos (0,07%)
1B 1B 1B 4B 1B 2B 1B 4B: 1 jogos (0,07%)
1B 1B 2B 1B 4B 6B: 1 jogos (0,07%)
3B 4B 1B 1B 2B 1B 3B: 1 jogos (0,07%)
2B 1B 4B 1B 1B 6B: 1 jogos (0,07%)
1B 1B 4B 5B 1B 1B 2B: 1 jogos (0,07%)
1B 2B 1B 2B 2B 1B 1B 3B 2B: 1 jogos (0,07%)
5B 4B 1B 2B 1B 2B: 1 jogos (0,07%)
2B 2B 5B 2B 4B: 1 jogos (0,07%)
1B 1B 4B 2B 4B 1B 1B 1B: 1 jogos (0,07%)
4B 3B 2B 6B: 1 jogos (0,07%)
2B 1B 3B 1B 1B 2B 2B 3B: 1 jogos (0,07%)
1B 2B 5B 3B 3B 1B: 1 jogos (0,07%)
1B 1B 1B 1B 2B 1B 3B 3B 2B: 1 jogos (0,07%)
2B 5B 7B 1B: 1 jogos (0,07%)
2B 2B 3B 3B 2B 2B 1B: 1 jogos (0,07%)
2B 2B 4B 2B 4B 1B: 1 jogos (0,07%)
1B 1B 1B 2B 3B 7B: 1 jogos (0,07%)
2B 3B 1B 2B 3B 4B: 1 jogos (0,07%)
3B 2B 7B 1B 1B 1B: 1 jogos (0,07%)
1B 7B 3B 4B: 1 jogos (0,07%)
5B 5B 5B: 1 jogos (0,07%)
10B 2B 1B 2B: 1 jogos (0,07%)
3B 3B 5B 2B 1B 1B: 1 jogos (0,07%)
4B 3B 3B 2B 2B 1B: 1 jogos (0,07%)
